央视频道,#genre#
浙江卫视,http://150.138.8.143/00/SNM/CHANNEL00000305/index.m3u8
黑龙江卫视,http://150.138.8.143/00/SNM/CHANNEL00000306/index.m3u8
广东卫视,http://150.138.8.143/00/SNM/CHANNEL00000307/index.m3u8
深圳卫视,http://150.138.8.143/00/SNM/CHANNEL00000308/index.m3u8
东方卫视,http://150.138.8.143/00/SNM/CHANNEL00000309/index.m3u8
东南卫视,http://150.138.8.143/00/SNM/CHANNEL00000310/index.m3u8
天津卫视,http://150.138.8.143/00/SNM/CHANNEL00000327/index.m3u8
江西卫视,http://150.138.8.143/00/SNM/CHANNEL00000335/index.m3u8
重庆卫视,http://150.138.8.143/00/SNM/CHANNEL00000341/index.m3u8
海南卫视,http://150.138.8.143/00/SNM/CHANNEL00000347/index.m3u8
四川卫视,http://150.138.8.143/00/SNM/CHANNEL00000348/index.m3u8
甘肃卫视,http://150.138.8.143/00/SNM/CHANNEL00000349/index.m3u8
河南卫视,http://150.138.8.143/00/SNM/CHANNEL00000358/index.m3u8
吉林卫视,http://150.138.8.143/00/SNM/CHANNEL00000363/index.m3u8
青海卫视,http://150.138.8.143/00/SNM/CHANNEL00000366/index.m3u8
云南卫视,http://150.138.8.143/00/SNM/CHANNEL00000367/index.m3u8
广西卫视,http://150.138.8.143/00/SNM/CHANNEL00000368/index.m3u8
陕西卫视,http://150.138.8.143/00/SNM/CHANNEL00000029/index.m3u8
山西卫视,http://150.138.8.143/00/SNM/CHANNEL00000032/index.m3u8
内蒙古卫视,http://150.138.8.143/00/SNM/CHANNEL00000040/index.m3u8
贵州卫视,http://150.138.8.143/00/SNM/CHANNEL00000041/index.m3u8
青海卫视,http://150.138.8.143/00/SNM/CHANNEL00000042/index.m3u8
宁夏卫视,http://150.138.8.143/00/SNM/CHANNEL00000043/index.m3u8
新疆卫视,http://150.138.8.143/00/SNM/CHANNEL00000044/index.m3u8
西藏卫视,http://150.138.8.143/00/SNM/CHANNEL00000045/index.m3u8
兵团卫视,http://150.138.8.143/00/SNM/CHANNEL00000071/index.m3u8
农林卫视,http://150.138.8.143/00/SNM/CHANNEL00000072/index.m3u8
厦门卫视,http://150.138.8.143/00/SNM/CHANNEL00000075/index.m3u8
三沙卫视,http://150.138.8.143/00/SNM/CHANNEL00000078/index.m3u8
延边卫视,http://150.138.8.143/00/SNM/CHANNEL00000668/index.m3u8
大湾区卫视,http://150.138.8.143/00/SNM/CHANNEL00000670/index.m3u8

山东频道,#genre#
山东齐鲁,http://150.138.8.143/00/SNM/CHANNEL10000313/index.m3u8
山东卫视,http://150.138.8.143/00/SNM/CHANNEL10000301/index.m3u8
山东生活,http://150.138.8.143/00/SNM/CHANNEL00000336/index.m3u8
山东文旅,http://150.138.8.143/00/SNM/CHANNEL00000337/index.m3u8
山东综艺,http://150.138.8.143/00/SNM/CHANNEL00000338/index.m3u8
山东农科,http://150.138.8.143/00/SNM/CHANNEL00000339/index.m3u8
山东少儿,http://150.138.8.143/00/SNM/CHANNEL00000340/index.m3u8
山东体育,http://150.138.8.143/00/SNM/CHANNEL00000315/index.m3u8
山东教育卫视,http://150.138.8.143/00/SNM/CHANNEL00000331/index.m3u8

地方频道,#genre#
岱岳TV,http://150.138.8.143/00/SNM/CHANNEL00001013/index.m3u8
泰山TV,http://150.138.8.143/00/SNM/CHANNEL00001114/index.m3u8
新泰新闻综合,http://150.138.8.143/00/SNM/CHANNEL00001029/index.m3u8
新泰乡村,http://150.138.8.143/00/SNM/CHANNEL00001066/index.m3u8
肥城综合,http://150.138.8.143/00/SNM/CHANNEL00001039/index.m3u8
东平新闻,http://150.138.8.143/00/SNM/CHANNEL00001001/index.m3u8
宁阳TV1,http://150.138.8.143/00/SNM/CHANNEL00001071/index.m3u8
济南新闻综合,http://150.138.8.143/00/SNM/CHANNEL00000312/index.m3u8
济南新闻综合,http://150.138.8.143/00/SNM/CHANNEL00000061/index.m3u8
济南都市,http://150.138.8.143/00/SNM/CHANNEL00000062/index.m3u8
济南生活,http://150.138.8.143/00/SNM/CHANNEL00000063/index.m3u8
济南文旅体育,http://150.138.8.143/00/SNM/CHANNEL00004000/index.m3u8
济南娱乐,http://150.138.8.143/00/SNM/CHANNEL00000065/index.m3u8
济南少儿,http://150.138.8.143/00/SNM/CHANNEL00000067/index.m3u8
济南教育,http://150.138.8.143/00/SNM/CHANNEL00000069/index.m3u8
德州新闻综合,http://150.138.8.143/00/SNM/CHANNEL00000206/index.m3u8
德州公共,http://150.138.8.143/00/SNM/CHANNEL00000207/index.m3u8
滨州新闻综合,http://150.138.8.143/00/SNM/CHANNEL00000220/index.m3u8
滨州公共,http://150.138.8.143/00/SNM/CHANNEL00000221/index.m3u8
青岛QTV-1,http://150.138.8.143/00/SNM/CHANNEL00000500/index.m3u8
青岛QTV-2,http://150.138.8.143/00/SNM/CHANNEL00000501/index.m3u8
青岛QTV-3,http://150.138.8.143/00/SNM/CHANNEL00000502/index.m3u8
青岛QTV-4,http://150.138.8.143/00/SNM/CHANNEL00000503/index.m3u8
青岛QTV-5,http://150.138.8.143/00/SNM/CHANNEL00000504/index.m3u8
青岛QTV-6,http://150.138.8.143/00/SNM/CHANNEL00000505/index.m3u8
黄岛综合,http://150.138.8.143/00/SNM/CHANNEL00001086/index.m3u8
黄岛生活,http://150.138.8.143/00/SNM/CHANNEL00001087/index.m3u8
青岛崂山,http://150.138.8.143/00/SNM/CHANNEL00001022/index.m3u8
胶州综合,http://150.138.8.143/00/SNM/CHANNEL00001074/index.m3u8
平度新闻综合,http://150.138.8.143/00/SNM/CHANNEL00001054/index.m3u8
莱西综合,http://150.138.8.143/00/SNM/CHANNEL00001067/index.m3u8
淄博新闻综合,http://150.138.8.143/00/SNM/CHANNEL00000292/index.m3u8
淄博文旅,http://150.138.8.143/00/SNM/CHANNEL00000293/index.m3u8
淄博民生,http://150.138.8.143/00/SNM/CHANNEL00000294/index.m3u8
淄博影视,http://150.138.8.143/00/SNM/CHANNEL00001037/index.m3u8
张店,http://150.138.8.143/00/SNM/CHANNEL00001012/index.m3u8
淄川新闻,http://150.138.8.143/00/SNM/CHANNEL00001007/index.m3u8
周村新闻,http://150.138.8.143/00/SNM/CHANNEL00001019/index.m3u8
桓台综合,http://150.138.8.143/00/SNM/CHANNEL00001020/index.m3u8
沂源综合,http://150.138.8.143/00/SNM/CHANNEL00001002/index.m3u8
东营新闻综合,http://150.138.8.143/00/SNM/CHANNEL00000226/index.m3u8
东营公共,http://150.138.8.143/00/SNM/CHANNEL00000227/index.m3u8
广饶综合,http://150.138.8.143/00/SNM/CHANNEL00001043/index.m3u8
烟台新闻综合,http://150.138.8.143/00/SNM/CHANNEL00000280/index.m3u8
烟台公共,http://150.138.8.143/00/SNM/CHANNEL00000281/index.m3u8
烟台经济科技,http://150.138.8.143/00/SNM/CHANNEL00000282/index.m3u8
烟台影视,http://150.138.8.143/00/SNM/CHANNEL00000283/index.m3u8
牟平综合,http://150.138.8.143/00/SNM/CHANNEL00001076/index.m3u8
牟平生活,http://150.138.8.143/00/SNM/CHANNEL00001077/index.m3u8
长岛综合,http://150.138.8.143/00/SNM/CHANNEL00001090/index.m3u8
蓬莱综合,http://150.138.8.143/00/SNM/CHANNEL00001088/index.m3u8
龙口综合,http://150.138.8.143/00/SNM/CHANNEL00001005/index.m3u8
招远综合,http://150.138.8.143/00/SNM/CHANNEL00001113/index.m3u8
栖霞综合,http://150.138.8.143/00/SNM/CHANNEL00001055/index.m3u8
海阳综合,http://150.138.8.143/00/SNM/CHANNEL00001091/index.m3u8
海阳综艺,http://150.138.8.143/00/SNM/CHANNEL00001092/index.m3u8
WFTV-1,http://150.138.8.143/00/SNM/CHANNEL00000215/index.m3u8
WFTV-2,http://150.138.8.143/00/SNM/CHANNEL00000216/index.m3u8
WFTV-3,http://150.138.8.143/00/SNM/CHANNEL00000217/index.m3u8
WFTV-4,http://150.138.8.143/00/SNM/CHANNEL00000218/index.m3u8
潍坊高新,http://150.138.8.143/00/SNM/CHANNEL00001106/index.m3u8
青州综合,http://150.138.8.143/00/SNM/CHANNEL00001042/index.m3u8
青州文化旅游,http://150.138.8.143/00/SNM/CHANNEL00001057/index.m3u8
诸城综合,http://150.138.8.143/00/SNM/CHANNEL00001004/index.m3u8
寿光综合,http://150.138.8.143/00/SNM/CHANNEL00001000/index.m3u8
寿光蔬菜,http://150.138.8.143/00/SNM/CHANNEL00001045/index.m3u8
安丘综合,http://150.138.8.143/00/SNM/CHANNEL00001015/index.m3u8
昌邑综合,http://150.138.8.143/00/SNM/CHANNEL00001083/index.m3u8
昌乐综合,http://150.138.8.143/00/SNM/CHANNEL00001033/index.m3u8
东营新闻综合,http://150.138.8.143/00/SNM/CHANNEL00000226/index.m3u8
东营公共,http://150.138.8.143/00/SNM/CHANNEL00000227/index.m3u8
菏泽TV1,http://150.138.8.143/00/SNM/CHANNEL00000232/index.m3u8
菏泽TV2,http://150.138.8.143/00/SNM/CHANNEL00000234/index.m3u8
济宁教育,http://150.138.8.143/00/SNM/CHANNEL00000239/index.m3u8
济宁综合,http://150.138.8.143/00/SNM/CHANNEL00000240/index.m3u8
济宁公共,http://150.138.8.143/00/SNM/CHANNEL00000241/index.m3u8
济南鲁中,http://150.138.8.143/00/SNM/CHANNEL00000244/index.m3u8
聊城综合,http://150.138.8.143/00/SNM/CHANNEL00000250/index.m3u8
聊城公共,http://150.138.8.143/00/SNM/CHANNEL00000251/index.m3u8
淄博新闻,http://150.138.8.143/00/SNM/CHANNEL00000292/index.m3u8
淄博都市,http://150.138.8.143/00/SNM/CHANNEL00000293/index.m3u8
淄博生活,http://150.138.8.143/00/SNM/CHANNEL00000294/index.m3u8
淄博公共,http://150.138.8.143/00/SNM/CHANNEL00001037/index.m3u8
沂源新闻,http://150.138.8.143/00/SNM/CHANNEL00001002/index.m3u8
宁津新闻综合,http://150.138.8.143/00/SNM/CHANNEL00001003/index.m3u8
淄川新闻,http://150.138.8.143/00/SNM/CHANNEL00001007/index.m3u8
商河综合,http://150.138.8.143/00/SNM/CHANNEL00001008/index.m3u8
惠民新闻综合,http://150.138.8.143/00/SNM/CHANNEL00001009/index.m3u8
莒南综合,http://150.138.8.143/00/SNM/CHANNEL00001011/index.m3u8
张店,http://150.138.8.143/00/SNM/CHANNEL00001012/index.m3u8
嘉祥综合,http://150.138.8.143/00/SNM/CHANNEL00001016/index.m3u8
长清综合,http://150.138.8.143/00/SNM/CHANNEL00001018/index.m3u8
周村新闻,http://150.138.8.143/00/SNM/CHANNEL00001019/index.m3u8
桓台1台,http://150.138.8.143/00/SNM/CHANNEL00001020/index.m3u8
高青综合,http://150.138.8.143/00/SNM/CHANNEL00001023/index.m3u8
无棣综合,http://150.138.8.143/00/SNM/CHANNEL00001024/index.m3u8
济阳综合,http://150.138.8.143/00/SNM/CHANNEL00001030/index.m3u8
蒙阴综合,http://150.138.8.143/00/SNM/CHANNEL00001031/index.m3u8
兰陵综合,http://150.138.8.143/00/SNM/CHANNEL00001032/index.m3u8
沾化综合,http://150.138.8.143/00/SNM/CHANNEL00001035/index.m3u8
阳信新闻综合,http://150.138.8.143/00/SNM/CHANNEL00001036/index.m3u8
邹城新闻综合,http://150.138.8.143/00/SNM/CHANNEL00001038/index.m3u8
冠县综合,http://150.138.8.143/00/SNM/CHANNEL00001040/index.m3u8
郓城新闻,http://150.138.8.143/00/SNM/CHANNEL00001041/index.m3u8
广饶新闻综合,http://150.138.8.143/00/SNM/CHANNEL00001043/index.m3u8
巨野新闻,http://150.138.8.143/00/SNM/CHANNEL00001046/index.m3u8
莘县综合,http://150.138.8.143/00/SNM/CHANNEL00001047/index.m3u8
茌平综合,http://150.138.8.143/00/SNM/CHANNEL00001048/index.m3u8
平阴综合,http://150.138.8.143/00/SNM/CHANNEL00001050/index.m3u8
兖州新闻,http://150.138.8.143/00/SNM/CHANNEL00001051/index.m3u8
曲阜新闻综合,http://150.138.8.143/00/SNM/CHANNEL00001052/index.m3u8
齐河新闻,http://150.138.8.143/00/SNM/CHANNEL00001056/index.m3u8
邹平新闻频道,http://150.138.8.143/00/SNM/CHANNEL00001058/index.m3u8
武城新闻综合,http://150.138.8.143/00/SNM/CHANNEL00001059/index.m3u8
武城影视综合,http://150.138.8.143/00/SNM/CHANNEL00001060/index.m3u8
禹城综合,http://150.138.8.143/00/SNM/CHANNEL00001061/index.m3u8
禹城综艺,http://150.138.8.143/00/SNM/CHANNEL00001062/index.m3u8
定陶TV1,http://150.138.8.143/00/SNM/CHANNEL00001063/index.m3u8
平原新闻,http://150.138.8.143/00/SNM/CHANNEL00001064/index.m3u8
东明TV1,http://150.138.8.143/00/SNM/CHANNEL00001065/index.m3u8
夏津综合,http://150.138.8.143/00/SNM/CHANNEL00001069/index.m3u8
夏津公共,http://150.138.8.143/00/SNM/CHANNEL00001070/index.m3u8
宁阳TV2,http://150.138.8.143/00/SNM/CHANNEL00001072/index.m3u8
梁山TV1,http://150.138.8.143/00/SNM/CHANNEL00001075/index.m3u8
单县综合,http://150.138.8.143/00/SNM/CHANNEL00001079/index.m3u8
鄄城综合,http://150.138.8.143/00/SNM/CHANNEL00001084/index.m3u8
东阿新闻,http://150.138.8.143/00/SNM/CHANNEL00001093/index.m3u8
临沐新闻,http://150.138.8.143/00/SNM/CHANNEL00001094/index.m3u8
